p,Métrica,n,MAE (m),MAPE (%),RMSE (m),Viés médio (m),Tortuosidade média,Tortuosidade mediana
1.72,d_1.72,10000,2267.2435246537943,21.09631336276209,2820.7582732403175,-2267.1096044442756,1.3039506730202424,1.2361393815139965
1.73,d_1.73,10000,2279.7062610463663,21.206885996252566,2831.8493377119526,-2279.5904293133276,1.3057619775535714,1.2379566085424978
1.74,d_1.74,10000,2291.9696466142564,21.31570109634812,2842.8105678420684,-2291.8690523594805,1.3075500211722675,1.2396066726626611
1.75,d_1.75,10000,2304.0369737783944,21.422784107935737,2853.6432056136537,-2303.949883460045,1.3093151972705284,1.2409608539041375
1.76,d_1.76,10000,2315.911780544476,21.52815593332648,2864.3485269019875,-2315.837211100253,1.311057891071585,1.2424770524098594
1.77,d_1.77,10000,2327.59846922319,21.631869567625262,2874.9278368300893,-2327.5352064199315,1.3127784798266884,1.2440477295105685
1.78,d_1.78,10000,2339.1023752480746,21.733980641038908,2885.3824655129865,-2339.0479271014933,1.3144773330086006,1.245911926737854
1.79,d_1.79,10000,2350.4255205978566,21.83448362889423,2895.713764160139,-2350.3793211066663,1.3161548124997993,1.247434848809529
1.8,d_1.8,10000,2361.5721524131345,21.933425937921925,2905.9231015072105,-2361.5332302683323,1.3178112727754903,1.248697549246216
1.81,d_1.81,10000,2372.54615634022,22.030828557517086,2916.0118605514667,-2372.513393744357,1.3194470610816518,1.2498586402184209
1.82,d_1.82,10000,2383.351978720854,22.12676235737394,2925.981435566384,-2383.323451339112,1.3210625176081998,1.2512212172416262
1.83,d_1.83,10000,2393.9914480766406,22.22126012651369,2935.8332293735975,-2393.966946698741,1.3226579756574537,1.2526059515431536
1.84,d_1.84,10000,2404.4682258538605,22.314328868633538,2945.5686508519098,-2404.4473303857358,1.324233761808051,1.2542783749987378
1.85,d_1.85,10000,2414.7854756755205,22.40597813477011,2955.1891126644396,-2414.7679628378614,1.3257901960744152,1.2558214396886398
1.86,d_1.86,10000,2424.9465151637783,22.49624045529442,2964.696029186805,-2424.932117216518,1.327327592061924,1.2573527309212358
1.87,d_1.87,10000,2434.9546992823257,22.585147859314702,2974.0908146206343,-2434.9429821494473,1.3288462571179318,1.2586374443026265
1.88,d_1.88,10000,2444.812967119319,22.672721040310115,2983.374881277475,-2444.803664371952,1.3303464924787098,1.2595702040433734
1.89,d_1.89,10000,2454.5245910030244,22.759011355832683,2992.5496380200398,-2454.517191271306,1.3318285934124916,1.261177117168482
1.9,d_1.9,10000,2464.0926357212074,22.844042014557306,3001.616488848171,-2464.0865133382254,1.3332928493586986,1.2627948815576433
1.91,d_1.91,10000,2473.519371467488,22.927805731459486,3010.5768316180265,-2473.514506529191,1.3347395440634433,1.2641811664136755
1.92,d_1.92,10000,2482.8079350166367,23.01035100347892,3019.4320568843973,-2482.8039745437777,1.336168955711486,1.2658269490776997
1.93,d_1.93,10000,2491.960974438148,23.09170889478894,3028.183546855949,-2491.957651020008,1.3375813570546748,1.2672669703003576
1.94,d_1.94,10000,2500.9809579037483,23.171882067456366,3036.8326744547767,-2500.9782016514264,1.3389770155370126,1.2688530510352813
1.95,d_1.95,10000,2509.8704249828324,23.250884679951596,3045.3808024719156,-2509.868226228998,1.340356193416441,1.26996428557145
1.96,d_1.96,10000,2518.631911319068,23.32873956545639,3053.829282811265,-2518.63026061096,1.3417191478834396,1.2713804085489644
1.97,d_1.97,10000,2527.2680074285927,23.40548896899502,3062.179455814801,-2527.266778623437,1.3430661311765213,1.2728108405388916
1.98,d_1.98,10000,2535.7810272626034,23.48113678922354,3070.4326496627377,-2535.7801938947478,1.3443973906947284,1.2740906562440721
1.99,d_1.99,10000,2544.173342444907,23.555713605648762,3078.5901798426426,-2544.1728616260375,1.3457131691072197,1.2755192020006991
2.0,d_2,10000,2552.4473923503556,23.62932856419988,3086.65334868176,-2552.4470803005624,1.3470137044599912,1.2770828434685266
2.01,d_2.01,10000,2560.6052982013216,23.701954178999372,3094.623444937917,-2560.605093334504,1.348299230279886,1.2784071627563738
2.02,d_2.02,10000,2568.649231447131,23.773576816016412,3102.501743443817,-2568.649090671144,1.3495699756758968,1.2792392798878947
2.03,d_2.03,10000,2576.5812885125006,23.844194137532423,3110.2895048006853,-2576.581210320931,1.350826165437886,1.280277387352922
2.04,d_2.04,10000,2584.403567305057,23.913828088492266,3117.987975117209,-2584.4035398494893,1.3520680201327842,1.2812975492414123
2.05,d_2.05,10000,2592.1181227392517,23.982499649000857,3125.5983857899355,-2592.1181178154798,1.3532957561983265,1.2823515611852137
2.06,d_2.06,10000,2599.726935732919,24.050223643234048,3133.1219533219114,-2599.7269351604386,1.3545095860344212,1.2835716844515872
2.07,d_2.07,10000,2607.2319365522676,24.11701889397964,3140.5598791762186,-2607.2319365522676,1.355709718092194,1.2846745163284234
