p,n,MAE_m,MAPE_percent,RMSE_m,bias_m
2.91,10000,1238.4419733696684,28.43775781599432,1448.4321232321192,-1238.4419386575091
2.92,10000,1239.3681932747845,28.4598705980187,1449.4203830371252,-1239.3681586091832
2.93,10000,1240.2847366097983,28.48175683410778,1450.3990344924537,-1240.2847019891626
2.94,10000,1241.1917352589205,28.503419565641487,1451.3681995384675,-1241.1917006817139
2.95,10000,1242.0893188973469,28.52486178356399,1452.3279982322285,-1242.0892843620854
2.96,10000,1242.9776150351584,28.546086429380374,1453.2785487812316,-1242.97758054041
2.97,10000,1243.8567490601718,28.56709639612961,1454.2199675764355,-1243.8567146045532
2.98,10000,1244.7268442798415,28.587894529335916,1455.152369224664,-1244.726809862018
2.99,10000,1245.5880219621895,28.608483627938202,1456.0758665803544,-1245.5879875808719
3.0,10000,1246.4404013757955,28.62886644519822,1456.9905707766716,-1246.4403670297395
3.01,10000,1247.2840998288757,28.649045689588075,1457.8965912559997,-1247.2840655168798
3.02,10000,1248.1192327075044,28.669024025658306,1458.7940357998589,-1248.1191984284085
3.03,10000,1248.9459135129546,28.688804074885958,1459.6830105582171,-1248.9458792656383
3.04,10000,1249.7642538981625,28.708388416503027,1460.5636200781814,-1249.7642196815445
3.05,10000,1250.5743637034643,28.72777958830809,1461.435967332223,-1250.5743295165007
3.06,10000,1251.3763509914324,28.746980087457825,1462.3001537457344,-1251.3763168331145
3.07,10000,1252.1703220810045,28.765992371242415,1463.1562792241268,-1252.1702879503591
3.08,10000,1252.9563815808322,28.784818857843185,1464.0044421793632,-1252.9563474769186
3.09,10000,1253.7346324218788,28.803461927073403,1464.844739555969,-1253.7345983437897
3.1,10000,1254.5051758893296,28.82192392110336,1465.677266856557,-1254.505141836188
3.11,10000,1255.2681116537565,28.840207145168627,1466.502118166819,-1255.268077624716
3.12,10000,1256.023537801642,28.858313868263803,1467.3193861800687,-1256.0235037958848
3.13,10000,1256.7715508652063,28.876246323820453,1468.1291622212782,-1256.7715168819434
3.14,10000,1257.5122458515964,28.894006710370583,1468.931536270661,-1257.5122118900654
3.15,10000,1258.245716271447,28.911597192195913,1469.7265969868035,-1258.2456823309114
3.16,10000,1258.972054166794,28.929019899962494,1470.5144317293207,-1258.9720202465426
3.17,10000,1259.6913501384274,28.946276931342545,1471.2951265811143,-1259.6913162377737
3.18,10000,1260.403693372616,28.96337035162216,1472.0687663701653,-1260.403659490897
3.19,10000,1261.1091716672902,28.980302194296648,1472.8354346909343,-1261.1091378038657
3.2,10000,1261.8078714576393,28.99707446165265,1473.5952139253318,-1261.8078376118901
3.21,10000,1262.4998778411757,29.0136891253382,1474.3481852632908,-1262.4998440125046
3.22,10000,1263.1852746022523,29.03014812692036,1475.094428722941,-1263.1852407900824
3.23,10000,1263.864144236094,29.046453378431785,1475.8340231704224,-1263.8641104398678
3.24,10000,1264.5365679722838,29.062606762905073,1476.5670463392896,-1264.536534191463
3.25,10000,1265.2026257977564,29.078610134895843,1477.2935748495472,-1265.202592031821
3.26,10000,1265.8623964793437,29.094465320995646,1478.013684226357,-1265.8623627277916
3.27,10000,1266.5159575857972,29.11017412033312,1478.727448918342,-1266.5159238481433
3.28,10000,1267.1633855093974,29.125738305065706,1479.4349423155882,-1267.163351785173
3.29,10000,1267.8047554870786,29.141159620860368,1480.1362367672748,-1267.8047217758312
3.3,10000,1268.4401416211379,29.156439787364942,1480.83140359899,-1268.4401079224303
3.31,10000,1269.0696168994957,29.171580498669304,1481.5205131297073,-1269.0695832129059
3.32,10000,1269.6932532155495,29.186583423757266,1482.2036346884465,-1269.6932195406691
3.33,10000,1270.3111213876252,29.201450206949442,1482.880836630637,-1270.3110877240606
3.34,10000,1270.9232911780055,29.216182468336427,1483.5521863541435,-1270.923257525376
3.35,10000,1271.529831311598,29.230781804203883,1484.2177503150263,-1271.5297976695354
3.36,10000,1272.1308094941887,29.24524978744817,1484.8775940429712,-1272.1307758623377
3.37,10000,1272.7262924303643,29.259587967984523,1485.5317821564747,-1272.726258808382
