origin,target,origin_x,origin_y,target_x,target_y,d_graph_m,d_L1_m,d_L1_25_m,d_L1_5_m,d_L1_54_m,d_L1_75_m,d_L2_m,d_L3_m,d_L5_m,d_L10_m,d_Linf_m,tortuosity_dG_dL2
3956688544,8272765180,289340.6082240323,7472708.052682117,286278.91731391335,7474711.126200948,4898.692610986229,5064.764428950206,4433.311928295852,4063.813107762018,4018.7645706233066,3824.4524677143527,3658.7231038912983,3324.310225443288,3131.801048444931,3066.061352650437,3061.690910118923,1.3389077205039484
1037596119,1040638098,284192.9030438739,7474742.731425604,287604.65526488546,7471797.13998609,6184.740321663304,6357.343660525046,5538.110613908551,5052.609552725517,4992.863322895893,4733.006217121524,4507.389726450603,4026.2940240635558,3689.8827703510274,3483.14981226069,3411.7522210115567,1.3721334734756894
993367306,1037621686,287804.57286594366,7476140.237118611,287298.1413849448,7475053.611338672,2061.923090552363,1593.057260937756,1410.132326519939,1306.3550970938845,1293.984490176051,1241.6603732388667,1198.8446231995615,1122.1211349255882,1091.3630349293549,1086.6783081283622,1086.625779938884,1.7199252101989302
5189491687,1067977697,289390.626845537,7472201.149952985,286791.7966517608,7477921.691123839,7582.138101196014,8319.371364629362,7371.678852440689,6835.618853212041,6771.854736760633,6502.642675193732,6283.192633009836,5894.015369489343,5742.511429307315,5720.755347358245,5720.54117085319,1.2067333510295297
999517562,8269957475,285895.4479480008,7478939.4696432,289175.2181895062,7471018.24910366,9491.16896204909,11200.99078104546,9963.928368007237,9272.112709554482,9190.493089558326,8848.288704108045,8573.367347378487,8104.376746417394,7940.406118916635,7921.337833683256,7921.220539540052,1.1070526407516228
1562400811,7463907989,286708.1290696744,7473168.412828961,284947.53756692435,7480029.883375163,7794.733133793356,8622.062048951862,7846.821981910645,7443.832651052706,7398.685553721442,7217.284101931352,7083.746219053205,6899.893473255443,6862.996217779212,6861.471395051785,6861.470546201803,1.1003687727868912
4444895357,994679386,287905.8488748877,7474312.150802327,285720.52591286914,7474437.079896517,2990.087412658647,2310.2520562083228,2234.0576593794663,2205.1913118983102,2202.584467030682,2193.6572028918367,2188.890981045101,2185.4590473188923,2185.3232288796808,2185.322962018627,2185.322962018545,1.3660284767727486
1620584366,905155895,285585.8893146111,7479813.356682323,286863.9134383985,7474067.470470068,6456.765726496334,7023.910336042289,6437.907549173633,6140.9964883107905,6108.32214359071,5978.885636496997,5886.3022369874325,5766.885069254542,5746.511676688252,5745.8863825402195,5745.886212254874,1.096913727250414
8269478253,916096344,285471.1694924595,7475063.241970949,286321.1789566522,7473494.838570487,2202.669305731717,2418.4128646547906,2128.7713918225604,1961.8465611327456,1941.720420144033,1855.750459692905,1783.9297395912915,1647.56225776257,1582.802766698056,1568.745924292122,1568.4034004621208,1.234728732218098
1037553818,8213443171,283957.54653243534,7473759.130851704,287948.6864043701,7471076.464694735,6374.97776708042,6673.806028903811,5837.904145778282,5347.909077736405,5288.092764475128,5029.786878195238,4808.939091639086,4360.002394712224,4095.096882560901,3998.5896449682,3991.139871934778,1.3256515929187123
1013918979,8193633595,285163.8574206558,7474496.158796456,285750.4075050706,7479855.311967712,7716.442713928338,5945.703255671018,5627.392014611114,5487.750233804659,5473.82677500871,5422.64974694659,5391.156064752,5361.494228373861,5359.170004510936,5359.153171388373,5359.153171256185,1.4313150317386154
2663230725,1039425173,288659.5919455822,7473718.725217776,288529.7956566358,7471114.3175833,2959.9904229421186,2734.2039234226104,2653.3546560122813,2623.6893459860794,2621.067505678248,2612.22213004979,2607.6399680826676,2604.515090244567,2604.407794618287,2604.4076344762257,2604.4076344761997,1.1351223555292127
1040637870,913790129,287736.88952244516,7471714.123075112,286762.69014321675,7474177.791324332,4212.33372064797,3437.867628448992,3064.3920727324917,2856.7837338874097,2832.3958577242593,2730.5174545097298,2649.287767062431,2513.4322164382966,2468.4135890565944,2463.69127530967,2463.6682492205873,1.5899872309147705
1067977659,4238539280,286882.258130052,7478720.548927069,288819.76106774306,7472014.868915051,10933.87066130033,8643.182949708542,7819.839841090621,7383.1524823840755,7333.535318821439,7131.892854792348,6979.975792016211,6759.168536216835,6708.378503213536,6705.68273119447,6705.6800120174885,1.5664625475931646
998978009,1620569302,289268.5877991573,7472106.13963949,285640.7617972322,7479429.103998613,9219.255238654026,10950.790361047431,9670.411850379709,8939.124329092507,8851.527314589253,8479.464279807875,8172.3269945114025,7608.474688983027,7366.155199304484,7323.61614996478,7322.9643591223285,1.1281065044075878
1052966626,1040638000,287452.65864838724,7474473.295367662,287726.31280657597,7471859.227614679,4435.0162353240285,2887.7219111712184,2737.8702899721475,2672.7668183680003,2666.318071515727,2642.7291623666342,2628.3524907205474,2615.0670284244384,2614.074326089629,2614.0677530238117,2614.0677529824898,1.6873749814691692
916096344,3693867735,286321.1789566522,7473494.838570487,286688.1380337168,7476130.055955606,2953.6772317424984,3002.1764621834736,2813.073550066542,2725.735263188176,2716.7168931904243,2682.6973472316395,2660.644589394203,2637.5871664008782,2635.2449809377254,2635.2173858413125,2635.217385118827,1.1101359586005493
7182481954,7986776049,288368.4650941267,7474544.245706609,286066.7413253737,7475512.871347516,3838.341953687426,3270.349409659393,2907.121842004572,2703.569811634187,2679.51930648798,2578.556537650779,2497.2320556696036,2357.5388380627455,2307.767654507168,2301.7638597401556,2301.7237687529996,1.5370385563380171
1037564597,1606493010,284848.99268806237,7473730.954909824,285313.2349874656,7474729.223270241,1451.1045223212448,1462.5106598205748,1294.6881554609402,1199.5024601089451,1188.1580250148743,1140.1816827552477,1100.9362524531214,1030.6722590963652,1002.5738066884475,998.3155807324791,998.2683604173362,1.3180640741803837
1037953315,8276950505,286556.1421811044,7475770.00035888,287554.52548797417,7474694.712926044,2148.851160723201,2073.6707397052087,1805.5456289733934,1646.4394782983863,1626.8408489207434,1541.5259668788472,1467.3146529119258,1308.1249309128955,1194.271598641324,1117.9878681733708,1075.2874328354374,1.4644787717881418
1102452333,913720931,287415.2306855865,7475243.430012038,288024.84750839847,7474648.838705402,1029.8299295411073,1204.2081294480595,1048.3444671751226,955.8178266780374,944.4170907342253,894.7754374052707,851.5700162538442,758.7216726151978,691.851190547458,645.7701742575712,609.6168228119495,1.2093308945651342
1620584366,1040539209,285585.8893146111,7479813.356682323,287236.97588114906,7471091.905877013,9442.471008838666,10372.537371848128,9582.354329053773,9194.032433545714,9152.192011124149,8989.157765372584,8876.361360357483,8741.13108078971,8721.874918750076,8721.450856880483,8721.45080531016,1.0637772196847992
914105050,8984955529,286653.39352250297,7473497.893474459,287142.1106461606,7474998.06285739,1761.6470917819556,1988.8865065893042,1788.9085432876527,1680.7989286151462,1668.3486506915942,1617.1904616612203,1577.7682353380576,1517.262910286845,1501.2686927120226,1500.1714027404216,1500.1693829316646,1.1165436420416333
914760086,1606407286,287295.305021698,7477422.927241156,285653.9140936364,7477666.330463681,2496.960899767247,1884.794150587113,1761.1535395465387,1703.2981828397815,1697.2706143543924,1674.3798771395782,1659.3400216528205,1643.1731516485713,1641.414467768071,1641.3909289056458,1641.3909280616208,1.5047915841143256
2449854645,1040638016,287774.32757811976,7474768.796166873,287597.5002215733,7470834.656182074,4901.011778230146,4110.967341345095,3999.141278784944,3959.0928628530864,3955.6107536926747,3943.9943460369363,3938.1118996308983,3934.2590580867263,3934.140129135728,3934.1399847986327,3934.1399847986177,1.2445080036170368
